w,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0174752840000768,2,0,[1.],[-0.01025849 -0.44533812  1.        ],"[1.0, 0.4453381214298439, 0.2085845359486588]",2.139993097679997,-2.043968492153679,[1],-45.551642114118735,2.043968492153679,0.04285800818270138,[]
0.0191791026167248,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0191791026167248,0,1,[0.43793545 1.        ],[1.],"[1.0, 0.4379354492936189, 0.0]",,,,,,,
0.0191791026167248,0,2,[0.20188999 0.43793545 1.        ],[1.],"[1.0, 0.4379354492936189, 0.2018899894536098]",,,,,,,
0.0191791026167248,1,0,[1.],[-0.43793545  1.        ],"[1.0, 0.4379354492936189, 0.19178745774800385]",2.2834415474083682,-2.2834415474083682,[1],,,0.0,[]
0.0191791026167248,1,1,[-0.02306854  1.        ],[-0.46100399  1.        ],"[1.0, 0.4379354492936189, 0.2018899894536098]",2.169178622867022,-2.0606333905256617,[1],,,0.050039785196617316,[0.05003979]
0.0191791026167248,2,0,[1.],[-0.01010253 -0.43793545  1.        ],"[1.0, 0.4379354492936189, 0.2018899894536098]",2.174375582532227,-2.075253481684337,[1],-45.523455006911135,2.075253481684337,0.043508341072091415,[]
0.0210490414451202,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0210490414451202,0,1,[0.43053288 1.        ],[1.],"[1.0, 0.4305328806500256, 0.0]",,,,,,,
0.0210490414451202,0,2,[0.19530659 0.43053288 1.        ],[1.],"[1.0, 0.4305328806500256, 0.195306589988238]",,,,,,,
0.0210490414451202,1,0,[1.],[-0.43053288  1.        ],"[1.0, 0.4305328806500256, 0.1853585613208092]",2.322702968679613,-2.322702968679613,[1],,,0.0,[]
0.0210490414451202,1,1,[-0.02310632  1.        ],[-0.4536392  1.       ],"[1.0, 0.4305328806500256, 0.195306589988238]",2.204395052291649,-2.0921132026323197,[1],,,0.05093544804621248,[0.05093545]
0.0210490414451202,2,0,[1.],[-0.00994803 -0.43053288  1.        ],"[1.0, 0.4305328806500256, 0.195306589988238]",2.209863366060917,-2.1074795658323704,[1],-45.488074059165235,2.1074795658323704,0.04418387208327758,[]
0.0231012970008316,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0231012970008316,0,1,[0.4231305 1.       ],[1.],"[1.0, 0.4231304965701341, 0.0]",,,,,,,
0.0231012970008316,0,2,[0.18883782 0.4231305  1.        ],[1.],"[1.0, 0.4231304965701341, 0.1888378208473384]",,,,,,,
0.0231012970008316,1,0,[1.],[-0.4231305  1.       ],"[1.0, 0.4231304965701341, 0.17903941712768826]",2.3633370983796476,-2.3633370983796476,[1],,,0.0,[]
0.0231012970008316,1,1,[-0.02315693  1.        ],[-0.44628743  1.        ],"[1.0, 0.4231304965701341, 0.1888378208473384]",2.2407084273240168,-2.1244427042266696,[1],,,0.05188793047750465,[0.05188793]
0.0231012970008316,2,0,[1.],[-0.0097984 -0.4231305  1.       ],"[1.0, 0.4231304965701341, 0.1888378208473384]",2.2464724404909906,-2.140620877185398,[1],-45.43008771871935,2.140620877185398,0.04489881128246339,[]
0.0253536449397011,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0253536449397011,0,1,[0.41572824 1.        ],[1.],"[1.0, 0.4157282422447028, 0.0]",,,,,,,
0.0253536449397011,0,2,[0.18247452 0.41572824 1.        ],[1.],"[1.0, 0.4157282422447028, 0.1824745218600782]",,,,,,,
0.0253536449397011,1,0,[1.],[-0.41572824  1.        ],"[1.0, 0.4157282422447028, 0.17282997139987027]",2.4054175261236828,-2.4054175261236828,[1],,,0.0,[]
0.0253536449397011,1,1,[-0.02319917  1.        ],[-0.43892741  1.        ],"[1.0, 0.4157282422447028, 0.1824745218600782]",2.278281033466601,-2.1578642423123147,[1],,,0.052854230617485225,[0.05285423]
0.0253536449397011,2,0,[1.],[-0.00964455 -0.41572824  1.        ],"[1.0, 0.4157282422447028, 0.1824745218600782]",2.284357540189398,-2.1748990984006396,[1],-45.389346617693796,2.1748990984006396,0.045620518414049106,[]
0.0278255940220712,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0278255940220712,0,1,[0.40832622 1.        ],[1.],"[1.0, 0.4083262241139249, 0.0]",,,,,,,
0.0278255940220712,0,2,[0.17621923 0.40832622 1.        ],[1.],"[1.0, 0.4083262241139249, 0.1762192299469532]",,,,,,,
0.0278255940220712,1,0,[1.],[-0.40832622  1.        ],"[1.0, 0.4083262241139249, 0.1667303052991352]",2.449022230129886,-2.449022230129886,[1],,,0.0,[]
0.0278255940220712,1,1,[-0.02323859  1.        ],[-0.43156481  1.        ],"[1.0, 0.4083262241139249, 0.1762192299469532]",2.317149066176502,-2.192376912233205,[1],,,0.05384727109904175,[0.05384727]
0.0278255940220712,2,0,[1.],[-0.00948892 -0.40832622  1.        ],"[1.0, 0.4083262241139249, 0.1762192299469532]",2.3235588253492248,-2.2103239338884313,[1],-45.35543432957946,2.2103239338884313,0.0463584439945319,[]
0.0305385550883341,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0305385550883341,0,1,[0.40092446 1.        ],[1.],"[1.0, 0.4009244581067744, 0.0]",,,,,,,
0.0305385550883341,0,2,[0.17006624 0.40092446 1.        ],[1.],"[1.0, 0.4009244581067744, 0.1700662397115664]",,,,,,,
0.0305385550883341,1,0,[1.],[-0.40092446  1.        ],"[1.0, 0.4009244581067744, 0.1607404211082107]",2.4942354595230993,-2.4942354595230993,[1],,,0.0,[]
0.0305385550883341,1,1,[-0.02326079  1.        ],[-0.42418525  1.        ],"[1.0, 0.4009244581067744, 0.1700662397115664]",2.3574605917479285,-2.2281859639294512,[1],,,0.05483638974538595,[0.05483639]
0.0305385550883341,2,0,[1.],[-0.00932582 -0.40092446  1.        ],"[1.0, 0.4009244581067744, 0.1700662397115664]",2.364218599837763,-2.2470849402004585,[1],-45.355024571820834,2.2470849402004585,0.04708970199123038,[]
0.0335160265093884,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0335160265093884,0,1,[0.39352299 1.        ],[1.],"[1.0, 0.3935229887085454, 0.0]",,,,,,,
0.0335160265093884,0,2,[0.16401783 0.39352299 1.        ],[1.],"[1.0, 0.3935229887085454, 0.164017832347333]",,,,,,,
0.0335160265093884,1,0,[1.],[-0.39352299  1.        ],"[1.0, 0.3935229887085454, 0.15486034264210596]",2.541147604316019,-2.541147604316019,[1],,,0.0,[]
0.0335160265093884,1,1,[-0.02327053  1.        ],[-0.41679352  1.        ],"[1.0, 0.3935229887085454, 0.164017832347333]",2.3992695372000767,-2.2653128461956076,[1],,,0.055832281003657266,[0.05583228]
0.0335160265093884,2,0,[1.],[-0.00915749 -0.39352299  1.        ],"[1.0, 0.3935229887085454, 0.164017832347333]",2.4063941637851336,-2.2852125926399856,[1],-45.37919581311979,2.2852125926399856,0.04782221154420073,[]
0.0367837977182863,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0367837977182863,0,1,[0.38612187 1.        ],[1.],"[1.0, 0.3861218670640604, 0.0]",,,,,,,
0.0367837977182863,0,2,[0.15807429 0.38612187 1.        ],[1.],"[1.0, 0.3861218670640604, 0.158074288018897]",,,,,,,
0.0367837977182863,1,0,[1.],[-0.38612187  1.        ],"[1.0, 0.3861218670640604, 0.1490900962250359]",2.589855911564037,-2.589855911564037,[1],,,0.0,[]
0.0367837977182863,1,1,[-0.02326776  1.        ],[-0.40938963  1.        ],"[1.0, 0.3861218670640604, 0.158074288018897]",2.442660801470138,-2.303831562364973,[1],,,0.05683525073215618,[0.05683525]
0.0367837977182863,2,0,[1.],[-0.00898419 -0.38612187  1.        ],"[1.0, 0.3861218670640604, 0.158074288018897]",2.450171603267789,-2.3247839928858878,[1],-45.42809058846776,2.3247839928858878,0.04855614816544401,[]
0.0403701725859655,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0403701725859655,0,1,[0.37872116 1.        ],[1.],"[1.0, 0.3787211578652362, 0.0]",,,,,,,
0.0403701725859655,0,2,[0.152238   0.37872116 1.        ],[1.],"[1.0, 0.3787211578652362, 0.1522379956623566]",,,,,,,
0.0403701725859655,1,0,[1.],[-0.37872116  1.        ],"[1.0, 0.3787211578652362, 0.14342971541478516]",2.6404651000666806,-2.6404651000666806,[1],,,0.0,[]
0.0403701725859655,1,1,[-0.02325796  1.        ],[-0.40197911  1.        ],"[1.0, 0.3787211578652362, 0.1522379956623566]",2.4876914348320036,-2.343757042946801,[1],,,0.05785861938899291,[0.05785862]
0.0403701725859655,2,0,[1.],[-0.00880828 -0.37872116  1.        ],"[1.0, 0.3787211578652362, 0.1522379956623566]",2.4956126300184462,-2.365826476503884,[1],-45.491651268736234,2.365826476503884,0.04930113293175858,[]
0.0443062145758388,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0443062145758388,0,1,[0.37132093 1.        ],[1.],"[1.0, 0.3713209333158868, 0.0]",,,,,,,
0.0443062145758388,0,2,[0.1465123  0.37132093 1.        ],[1.],"[1.0, 0.3713209333158868, 0.1465122971620654]",,,,,,,
0.0443062145758388,1,0,[1.],[-0.37132093  1.        ],"[1.0, 0.3713209333158868, 0.13787923551858125]",2.6930881355651692,-2.6930881355651692,[1],,,0.0,[]
0.0443062145758388,1,1,[-0.0232496  1.       ],[-0.39457053  1.        ],"[1.0, 0.3713209333158868, 0.1465122971620654]",2.534401142486682,-2.3850645904278336,[1],,,0.05892380237499555,[0.0589238]
0.0443062145758388,2,0,[1.],[-0.00863306 -0.37132093  1.        ],"[1.0, 0.3713209333158868, 0.1465122971620654]",2.542764370908624,-2.4083350563095993,[1],-45.554264653214986,2.4083350563095993,0.05007242869620225,[]
0.0486260158006535,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0486260158006535,0,1,[0.36392128 1.        ],[1.],"[1.0, 0.3639212798579865, 0.0]",,,,,,,
0.0486260158006535,0,2,[0.14089732 0.36392128 1.        ],[1.],"[1.0, 0.3639212798579865, 0.1408973224860366]",,,,,,,
0.0486260158006535,1,0,[1.],[-0.36392128  1.        ],"[1.0, 0.3639212798579865, 0.13243869793347493]",2.7478470079854396,-2.7478470079854396,[1],,,0.0,[]
0.0486260158006535,1,1,[-0.02324301  1.        ],[-0.38716429  1.        ],"[1.0, 0.3639212798579865, 0.1408973224860366]",2.5828828641797106,-2.4278221715714,[1],,,0.06003396234445787,[0.06003396]
0.0486260158006535,2,0,[1.],[-0.00845862 -0.36392128  1.        ],"[1.0, 0.3639212798579865, 0.1408973224860366]",2.5917230733800025,-2.452386278479852,[1],-45.615417717419305,2.452386278479852,0.05087184674822922,[]
0.0533669923120631,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0533669923120631,0,1,[0.3565223 1.       ],[1.],"[1.0, 0.3565222995831195, 0.0]",,,,,,,
0.0533669923120631,0,2,[0.13539454 0.3565223  1.        ],[1.],"[1.0, 0.3565222995831195, 0.1353945393545126]",,,,,,,
0.0533669923120631,1,0,[1.],[-0.3565223  1.       ],"[1.0, 0.3565222995831195, 0.1271081501000356]",2.804873639515108,-2.804873639515108,[1],,,0.0,[]
0.0533669923120631,1,1,[-0.02324227  1.        ],[-0.37976457  1.        ],"[1.0, 0.3565222995831195, 0.1353945393545126]",2.6332103294772713,-2.4720531226727487,[1],,,0.061201798048739486,[0.0612018]
0.0533669923120631,2,0,[1.],[-0.00828639 -0.3565223   1.        ],"[1.0, 0.3565222995831195, 0.1353945393545126]",2.6425688772004507,-2.4980202672315857,[1],-45.667617379537745,2.4980202672315857,0.051707941135978694,[]
0.0585702081805666,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0585702081805666,0,1,[0.34912411 1.        ],[1.],"[1.0, 0.3491241126136038, 0.0]",,,,,,,
0.0585702081805666,0,2,[0.13000366 0.34912411 1.        ],[1.],"[1.0, 0.3491241126136038, 0.1300036609698804]",,,,,,,
0.0585702081805666,1,0,[1.],[-0.34912411  1.        ],"[1.0, 0.3491241126136038, 0.12188764600823632]",2.864310896528533,-2.864310896528533,[1],,,0.0,[]
0.0585702081805666,1,1,[-0.02324679  1.        ],[-0.3723709  1.       ],"[1.0, 0.3491241126136038, 0.1300036609698804]",2.6854944699941172,-2.517841396724632,[1],,,0.06242912623456357,[0.06242913]
0.0585702081805666,2,0,[1.],[-0.00811601 -0.34912411  1.        ],"[1.0, 0.3491241126136038, 0.1300036609698804]",2.695416666496949,-2.545331095786281,[1],-45.712108264966005,2.545331095786281,0.05258131043448408,[]
0.0642807311728432,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0642807311728432,0,1,[0.34172686 1.        ],[1.],"[1.0, 0.3417268589482709, 0.0]",,,,,,,
0.0642807311728432,0,2,[0.12472474 0.34172686 1.        ],[1.],"[1.0, 0.3417268589482709, 0.1247247442062948]",,,,,,,
0.0642807311728432,1,0,[1.],[-0.34172686  1.        ],"[1.0, 0.3417268589482709, 0.11677724612665141]",2.9263137321944472,-2.9263137321944472,[1],,,0.0,[]
0.0642807311728432,1,1,[-0.02325687  1.        ],[-0.36498373  1.        ],"[1.0, 0.3417268589482709, 0.12472474420629479]",2.7398481441906544,-2.5652641993364247,[1],,,0.06372029969047849,[0.0637203]
0.0642807311728432,2,0,[1.],[-0.0079475  -0.34172686  1.        ],"[1.0, 0.3417268589482709, 0.1247247442062948]",2.750384452110222,-2.5944091933379627,[1],-45.748426794965944,2.5944091933379627,0.05349428422319054,[]
0.0705480231071864,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0705480231071864,0,1,[0.3343307 1.       ],[1.],"[1.0, 0.3343307020481539, 0.0]",,,,,,,
0.0705480231071864,0,2,[0.11955839 0.3343307  1.        ],[1.],"[1.0, 0.3343307020481539, 0.1195583926552116]",,,,,,,
0.0705480231071864,1,0,[1.],[-0.3343307  1.       ],"[1.0, 0.3343307020481539, 0.11177701833201147]",2.9910504595416105,-2.9910504595416105,[1],,,0.0,[]
0.0705480231071864,1,1,[-0.02327448  1.        ],[-0.35760519  1.        ],"[1.0, 0.3343307020481539, 0.1195583926552116]",2.796380033414411,-2.6143795957481726,[1],,,0.06508430023511992,[0.0650843]
0.0705480231071864,2,0,[1.],[-0.00778137 -0.3343307   1.        ],"[1.0, 0.3343307020481539, 0.1195583926552116]",2.807588152866601,-2.645331253414213,[1],-45.77309632169329,2.645331253414213,0.05445232569334189,[]
0.0774263682681127,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0774263682681127,0,1,[0.32693583 1.        ],[1.],"[1.0, 0.326935833748163, 0.0]",,,,,,,
0.0774263682681127,0,2,[0.11449593 0.32693583 1.        ],[1.],"[1.0, 0.326935833748163, 0.1144959306893804]",,,,,,,
0.0774263682681127,1,0,[1.],[-0.32693583  1.        ],"[1.0, 0.326935833748163, 0.10688703938860647]",3.058704176093144,-3.058704176093144,[1],,,0.0,[]
0.0774263682681127,1,1,[-0.02327335  1.        ],[-0.35020918  1.        ],"[1.0, 0.326935833748163, 0.1144959306893804]",2.855436274282249,-2.6656766549098925,[1],,,0.06645556095278471,[0.06645556]
0.0774263682681127,2,0,[1.],[-0.00760889 -0.32693583  1.        ],"[1.0, 0.326935833748163, 0.1144959306893804]",2.8673568698354153,-2.6985407707360443,[1],-45.83496158708367,2.6985407707360443,0.05540887695363229,[]
0.0849753435908644,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0849753435908644,0,1,[0.31954248 1.        ],[1.],"[1.0, 0.319542478422072, 0.0]",,,,,,,
0.0849753435908644,0,2,[0.10954564 0.31954248 1.        ],[1.],"[1.0, 0.319542478422072, 0.109545643794132]",,,,,,,
0.0849753435908644,1,0,[1.],[-0.31954248  1.        ],"[1.0, 0.319542478422072, 0.10210739551612036]",3.1294743814283636,-3.1294743814283636,[1],,,0.0,[]
0.0849753435908644,1,1,[-0.02327781  1.        ],[-0.34282029  1.        ],"[1.0, 0.319542478422072, 0.109545643794132]",2.916980240881006,-2.718914644639657,[1],,,0.06790090432067084,[0.0679009]
0.0849753435908644,2,0,[1.],[-0.00743825 -0.31954248  1.        ],"[1.0, 0.319542478422072, 0.109545643794132]",2.92968033491423,-2.7538661277470613,[1],-45.88905282140118,2.7538661277470613,0.056410028480855995,[]
0.093260334688322,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.093260334688322,0,1,[0.3121509 1.       ],[1.],"[1.0, 0.3121508983638912, 0.0]",,,,,,,
0.093260334688322,0,2,[0.10470557 0.3121509  1.        ],[1.],"[1.0, 0.3121508983638912, 0.1047055667191622]",,,,,,,
0.093260334688322,1,0,[1.],[-0.3121509  1.       ],"[1.0, 0.3121508983638912, 0.09743818334938434]",3.2035787987201174,-3.2035787987201174,[1],,,0.0,[]
0.093260334688322,1,1,[-0.02328164  1.        ],[-0.33543253  1.        ],"[1.0, 0.3121508983638912, 0.1047055667191622]",2.9812254318925757,-2.774305123792759,[1],,,0.069407803209453,[0.0694078]
0.093260334688322,2,0,[1.],[-0.00726738 -0.3121509   1.        ],"[1.0, 0.3121508983638912, 0.1047055667191622]",2.9947735298237164,-2.8115220318129897,[1],-45.94708283856361,2.8115220318129897,0.05744616654199935,[]
0.1023531021899026,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.1023531021899026,0,1,[0.3047614 1.       ],[1.],"[1.0, 0.3047614005915244, 0.0]",,,,,,,
0.1023531021899026,0,2,[0.0999745 0.3047614 1.       ],[1.],"[1.0, 0.3047614005915244, 0.0999745001575856]",,,,,,,
0.1023531021899026,1,0,[1.],[-0.3047614  1.       ],"[1.0, 0.3047614005915244, 0.09287951129050762]",3.281255428210585,-3.281255428210585,[1],,,0.0,[]
0.1023531021899026,1,1,[-0.02328047  1.        ],[-0.32804187  1.        ],"[1.0, 0.3047614005915244, 0.0999745001575856]",3.0483913409033483,-2.8320531487432032,[1],,,0.0709679853952204,[0.07096799]
0.1023531021899026,2,0,[1.],[-0.00709499 -0.3047614   1.        ],"[1.0, 0.3047614005915244, 0.0999745001575856]",3.062858896642389,-2.8717205299141244,[1],-46.017316796593654,2.8717205299141244,0.05851080378894994,[]
0.1123324032978027,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.1123324032978027,0,1,[0.29737434 1.        ],[1.],"[1.0, 0.2973743427461334, 0.0]",,,,,,,
0.1123324032978027,0,2,[0.09535467 0.29737434 1.        ],[1.],"[1.0, 0.2973743427461334, 0.0953546668154718]",,,,,,,
0.1123324032978027,1,0,[1.],[-0.29737434  1.        ],"[1.0, 0.2973743427461334, 0.08843149972369482]",3.362764893451799,-3.362764893451799,[1],,,0.0,[]
0.1123324032978027,1,1,[-0.02328098  1.        ],[-0.32065533  1.        ],"[1.0, 0.2973743427461334, 0.0953546668154718]",3.118613411146468,-2.892188397446767,[1],,,0.07260438658104212,[0.07260439]
0.1123324032978027,2,0,[1.],[-0.00692317 -0.29737434  1.        ],"[1.0, 0.2973743427461334, 0.0953546668154718]",3.134087353151815,-2.934530935299016,[1],-46.087599640807106,2.934530935299016,0.05961865824832817,[]
0.1232846739442066,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.1232846739442066,0,1,[0.28999014 1.        ],[1.],"[1.0, 0.2899901420082654, 0.0]",,,,,,,
0.1232846739442066,0,2,[0.09084636 0.28999014 1.        ],[1.],"[1.0, 0.2899901420082654, 0.0908463634301058]",,,,,,,
0.1232846739442066,1,0,[1.],[-0.28999014  1.        ],"[1.0, 0.2899901420082654, 0.08409428246197392]",3.4483930835535013,-3.4483930835535013,[1],,,0.0,[]
0.1232846739442066,1,1,[-0.02328383  1.        ],[-0.31327397  1.        ],"[1.0, 0.2899901420082654, 0.0908463634301058]",3.192094114272106,-2.954844354307363,[1],,,0.07432417449848383,[0.07432417]
0.1232846739442066,2,0,[1.],[-0.00675208 -0.28999014  1.        ],"[1.0, 0.2899901420082654, 0.0908463634301058]",3.2086725648385244,-3.0001148210758335,[1],-46.156934497262924,3.0001148210758335,0.06077338048941075,[]
0.1353047774579807,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.1353047774579807,0,1,[0.28260928 1.        ],[1.],"[1.0, 0.2826092845046715, 0.0]",,,,,,,
0.1353047774579807,0,2,[0.08644901 0.28260928 1.        ],[1.],"[1.0, 0.2826092845046715, 0.0864490086223306]",,,,,,,
0.1353047774579807,1,0,[1.],[-0.28260928  1.        ],"[1.0, 0.2826092845046715, 0.07986800768824236]",3.538454165625511,-3.538454165625511,[1],,,0.0,[]
0.1353047774579807,1,1,[-0.02328657  1.        ],[-0.30589585  1.        ],"[1.0, 0.2826092845046715, 0.0864490086223306]",3.2690864708386123,-3.020224610407203,[1],,,0.0761258114923982,[0.07612581]
0.1353047774579807,2,0,[1.],[-0.006581   -0.28260928  1.        ],"[1.0, 0.2826092845046715, 0.0864490086223306]",3.286876391185336,-3.068697478598117,[1],-46.230083258215714,3.068697478598117,0.06197265543615086,[]
