w,residues,poles,poly_type,pole_2,res_2,remainder
0.01,,,0_0,,,
0.01,,,0_1,,,
0.01,,,0_2,,,
0.01,-2.0418324118451348,2.0418324118451348,1_0,,,0.0
0.01,-1.8583544398603933,1.9479343746654456,1_1,,,0.0459871420567942
0.01,-1.8695342981823764,1.951888435977445,2_0,-44.31012788168459,1.8695342981823764,0.0404118637057464
0.0109749876549305,,,0_0,,,
0.0109749876549305,,,0_1,,,
0.0109749876549305,,,0_2,,,
0.0109749876549305,-2.0731705977586543,2.0731705977586543,1_0,,,0.0
0.0109749876549305,-1.8854576159212748,1.9770875783960904,1_1,,,0.0463459299810836
0.0109749876549305,-1.89697412795901,1.9811625310876184,2_0,-44.64051965701094,1.89697412795901,0.0406886675668529
0.0120450354025878,,,0_0,,,
0.0120450354025878,,,0_1,,,
0.0120450354025878,,,0_2,,,
0.0120450354025878,-2.1054855578123437,2.1054855578123437,1_0,,,0.0
0.0120450354025878,-1.913064894312976,2.00697047963685,1_1,,,0.0467897192692468
0.0120450354025878,-1.924969683633872,2.01118515171175,2_0,-44.90459231425395,1.924969683633872,0.0410303268453839
0.0132194114846602,,,0_0,,,
0.0132194114846602,,,0_1,,,
0.0132194114846602,,,0_2,,,
0.0132194114846602,-2.13882322626527,2.13882322626527,1_0,,,0.0
0.0132194114846602,-1.9414655000599836,2.037756488033104,1_1,,,0.047253432163557
0.0132194114846602,-1.9537820698095008,2.042119465552706,2_0,-45.16610844861485,1.9537820698095008,0.0413864734207308
0.0145082877849593,,,0_0,,,
0.0145082877849593,,,0_1,,,
0.0145082877849593,,,0_2,,,
0.0145082877849593,-2.173233458616893,2.173233458616893,1_0,,,0.0
0.0145082877849593,-1.9704247047948296,2.069346006869184,1_1,,,0.0478031715073195
0.0145082877849593,-1.983210655457852,2.073878360270448,2_0,-45.36276362915533,1.983210655457852,0.0418075684172571
0.0159228279334109,,,0_0,,,
0.0159228279334109,,,0_1,,,
0.0159228279334109,,,0_2,,,
0.0159228279334109,-2.2087686186230977,2.2087686186230977,1_0,,,0.0
0.0159228279334109,-1.9998028739141935,2.1016902320118334,1_1,,,0.0484787703467169
0.0159228279334109,-2.013140061426636,2.106421966720393,2_0,-45.45921777776682,2.013140061426636,0.0423234097605079
0.0174752840000768,,,0_0,,,
0.0174752840000768,,,0_1,,,
0.0174752840000768,,,0_2,,,
0.0174752840000768,-2.245484839225771,2.245484839225771,1_0,,,0.0
0.0174752840000768,-2.030043776799761,2.1350485998610167,1_1,,,0.0491814673764762
0.0174752840000768,-2.043968492153679,2.139993097679997,2_0,-45.551642114118735,2.043968492153679,0.0428580081827013
0.0191791026167248,,,0_0,,,
0.0191791026167248,,,0_1,,,
0.0191791026167248,,,0_2,,,
0.0191791026167248,-2.283441547408368,2.283441547408368,1_0,,,0.0
0.0191791026167248,-2.0606333905256617,2.169178622867022,1_1,,,0.0500397851966173
0.0191791026167248,-2.075253481684337,2.174375582532227,2_0,-45.523455006911135,2.075253481684337,0.0435083410720914
0.0210490414451202,,,0_0,,,
0.0210490414451202,,,0_1,,,
0.0210490414451202,,,0_2,,,
0.0210490414451202,-2.322702968679613,2.322702968679613,1_0,,,0.0
0.0210490414451202,-2.09211320263232,2.204395052291649,1_1,,,0.0509354480462124
0.0210490414451202,-2.1074795658323704,2.209863366060917,2_0,-45.48807405916524,2.1074795658323704,0.0441838720832775
0.0231012970008316,,,0_0,,,
0.0231012970008316,,,0_1,,,
0.0231012970008316,,,0_2,,,
0.0231012970008316,-2.363337098379648,2.363337098379648,1_0,,,0.0
0.0231012970008316,-2.1244427042266696,2.2407084273240168,1_1,,,0.0518879304775046
0.0231012970008316,-2.140620877185398,2.2464724404909906,2_0,-45.43008771871935,2.140620877185398,0.0448988112824633
0.0253536449397011,,,0_0,,,
0.0253536449397011,,,0_1,,,
0.0253536449397011,,,0_2,,,
0.0253536449397011,-2.4054175261236828,2.4054175261236828,1_0,,,0.0
0.0253536449397011,-2.1578642423123147,2.278281033466601,1_1,,,0.0528542306174852
0.0253536449397011,-2.17489909840064,2.284357540189398,2_0,-45.3893466176938,2.17489909840064,0.0456205184140491
0.0278255940220712,,,0_0,,,
0.0278255940220712,,,0_1,,,
0.0278255940220712,,,0_2,,,
0.0278255940220712,-2.449022230129886,2.449022230129886,1_0,,,0.0
0.0278255940220712,-2.192376912233205,2.317149066176502,1_1,,,0.0538472710990417
0.0278255940220712,-2.2103239338884317,2.3235588253492248,2_0,-45.35543432957946,2.2103239338884317,0.0463584439945319
0.0305385550883341,,,0_0,,,
0.0305385550883341,,,0_1,,,
0.0305385550883341,,,0_2,,,
0.0305385550883341,-2.4942354595230998,2.4942354595230998,1_0,,,0.0
0.0305385550883341,-2.2281859639294512,2.3574605917479285,1_1,,,0.0548363897453859
0.0305385550883341,-2.2470849402004585,2.364218599837763,2_0,-45.355024571820834,2.2470849402004585,0.0470897019912303
0.0335160265093884,,,0_0,,,
0.0335160265093884,,,0_1,,,
0.0335160265093884,,,0_2,,,
0.0335160265093884,-2.541147604316019,2.541147604316019,1_0,,,0.0
0.0335160265093884,-2.265312846195608,2.3992695372000767,1_1,,,0.0558322810036572
0.0335160265093884,-2.2852125926399856,2.4063941637851336,2_0,-45.37919581311979,2.2852125926399856,0.0478222115442007
0.0367837977182863,,,0_0,,,
0.0367837977182863,,,0_1,,,
0.0367837977182863,,,0_2,,,
0.0367837977182863,-2.589855911564037,2.589855911564037,1_0,,,0.0
0.0367837977182863,-2.303831562364973,2.442660801470138,1_1,,,0.0568352507321561
0.0367837977182863,-2.324783992885888,2.450171603267789,2_0,-45.42809058846776,2.324783992885888,0.048556148165444
0.0403701725859655,,,0_0,,,
0.0403701725859655,,,0_1,,,
0.0403701725859655,,,0_2,,,
0.0403701725859655,-2.640465100066681,2.640465100066681,1_0,,,0.0
0.0403701725859655,-2.343757042946801,2.487691434832004,1_1,,,0.0578586193889929
0.0403701725859655,-2.365826476503884,2.4956126300184462,2_0,-45.49165126873624,2.365826476503884,0.0493011329317585
0.0443062145758388,,,0_0,,,
0.0443062145758388,,,0_1,,,
0.0443062145758388,,,0_2,,,
0.0443062145758388,-2.693088135565169,2.693088135565169,1_0,,,0.0
0.0443062145758388,-2.3850645904278336,2.534401142486682,1_1,,,0.0589238023749955
0.0443062145758388,-2.4083350563095998,2.542764370908624,2_0,-45.554264653214986,2.4083350563095998,0.0500724286962022
0.0486260158006535,,,0_0,,,
0.0486260158006535,,,0_1,,,
0.0486260158006535,,,0_2,,,
0.0486260158006535,-2.74784700798544,2.74784700798544,1_0,,,0.0
0.0486260158006535,-2.4278221715714,2.5828828641797106,1_1,,,0.0600339623444578
0.0486260158006535,-2.452386278479852,2.5917230733800025,2_0,-45.615417717419305,2.452386278479852,0.0508718467482292
0.0533669923120631,,,0_0,,,
