chrom,scenario,seed,priv_pca_count,priv_geo_count
2,closest10kpca,10,278.0,
2,5epsilongeo,1,,26.0
2,5epsilongeo,2,,28.0
2,5epsilongeo,3,,33.0
2,5epsilongeo,4,,44.0
2,5epsilongeo,5,,28.0
2,5epsilongeo,6,,36.0
2,5epsilongeo,7,,37.0
2,5epsilongeo,8,,34.0
2,5epsilongeo,9,,32.0
2,5epsilongeo,10,,24.0
2,10epsilongeo,1,,14.0
2,10epsilongeo,2,,18.0
2,10epsilongeo,3,,11.0
2,10epsilongeo,4,,18.0
2,10epsilongeo,5,,11.0
2,10epsilongeo,6,,14.0
2,10epsilongeo,7,,12.0
2,10epsilongeo,8,,12.0
2,10epsilongeo,9,,16.0
2,10epsilongeo,10,,12.0
2,50epsilongeo,1,,7.0
2,50epsilongeo,2,,6.0
2,50epsilongeo,3,,9.0
2,50epsilongeo,4,,8.0
2,50epsilongeo,5,,6.0
2,50epsilongeo,6,,6.0
2,50epsilongeo,7,,13.0
2,50epsilongeo,8,,8.0
2,50epsilongeo,9,,6.0
2,50epsilongeo,10,,8.0
2,closest10kgeo,1,,28.0
2,closest10kgeo,2,,28.0
2,closest10kgeo,3,,28.0
2,closest10kgeo,4,,28.0
2,closest10kgeo,5,,28.0
2,closest10kgeo,6,,28.0
2,closest10kgeo,7,,28.0
2,closest10kgeo,8,,28.0
2,closest10kgeo,9,,28.0
2,closest10kgeo,10,,28.0
2,uniformgeo,1,,3.0
2,uniformgeo,2,,11.0
2,uniformgeo,3,,6.0
2,uniformgeo,4,,10.0
2,uniformgeo,5,,4.0
2,uniformgeo,6,,6.0
2,uniformgeo,7,,5.0
2,uniformgeo,8,,6.0
2,uniformgeo,9,,4.0
2,uniformgeo,10,,7.0
3,uniform,1,148.0,
3,uniform,2,135.0,
3,uniform,3,162.0,
3,uniform,4,158.0,
3,uniform,5,143.0,
3,uniform,6,158.0,
3,uniform,7,154.0,
3,uniform,8,147.0,
3,uniform,9,146.0,
3,uniform,10,151.0,
3,5epsilonpca,1,155.0,
3,5epsilonpca,2,163.0,
3,5epsilonpca,3,169.0,
3,5epsilonpca,4,146.0,
3,5epsilonpca,5,174.0,
3,5epsilonpca,6,165.0,
3,5epsilonpca,7,149.0,
3,5epsilonpca,8,161.0,
3,5epsilonpca,9,150.0,
3,5epsilonpca,10,155.0,
3,10epsilonpca,1,167.0,
3,10epsilonpca,2,165.0,
3,10epsilonpca,3,155.0,
3,10epsilonpca,4,157.0,
3,10epsilonpca,5,173.0,
3,10epsilonpca,6,149.0,
3,10epsilonpca,7,147.0,
3,10epsilonpca,8,154.0,
3,10epsilonpca,9,150.0,
3,10epsilonpca,10,161.0,
3,50epsilonpca,1,166.0,
3,50epsilonpca,2,193.0,
3,50epsilonpca,3,160.0,
3,50epsilonpca,4,174.0,
3,50epsilonpca,5,144.0,
3,50epsilonpca,6,150.0,
3,50epsilonpca,7,151.0,
3,50epsilonpca,8,186.0,
3,50epsilonpca,9,175.0,
3,50epsilonpca,10,157.0,
3,100epsilonpca,1,141.0,
3,100epsilonpca,2,145.0,
3,100epsilonpca,3,156.0,
3,100epsilonpca,4,116.0,
3,100epsilonpca,5,152.0,
3,100epsilonpca,6,139.0,
3,100epsilonpca,7,157.0,
3,100epsilonpca,8,176.0,
3,100epsilonpca,9,159.0,
3,100epsilonpca,10,143.0,
3,closest10kpca,1,240.0,
3,closest10kpca,2,240.0,
3,closest10kpca,3,240.0,
3,closest10kpca,4,240.0,
3,closest10kpca,5,240.0,
3,closest10kpca,6,240.0,
3,closest10kpca,7,240.0,
3,closest10kpca,8,240.0,
3,closest10kpca,9,240.0,
3,closest10kpca,10,240.0,
3,5epsilongeo,1,,22.0
3,5epsilongeo,2,,25.0
3,5epsilongeo,3,,21.0
3,5epsilongeo,4,,13.0
3,5epsilongeo,5,,22.0
3,5epsilongeo,6,,20.0
3,5epsilongeo,7,,22.0
3,5epsilongeo,8,,20.0
3,5epsilongeo,9,,18.0
3,5epsilongeo,10,,26.0
3,10epsilongeo,1,,7.0
3,10epsilongeo,2,,9.0
3,10epsilongeo,3,,12.0
3,10epsilongeo,4,,9.0
3,10epsilongeo,5,,13.0
3,10epsilongeo,6,,6.0
3,10epsilongeo,7,,8.0
3,10epsilongeo,8,,11.0
3,10epsilongeo,9,,12.0
3,10epsilongeo,10,,12.0
3,50epsilongeo,1,,3.0
3,50epsilongeo,2,,4.0
3,50epsilongeo,3,,2.0
3,50epsilongeo,4,,4.0
3,50epsilongeo,5,,4.0
3,50epsilongeo,6,,10.0
3,50epsilongeo,7,,4.0
3,50epsilongeo,8,,1.0
3,50epsilongeo,9,,4.0
3,50epsilongeo,10,,4.0
3,closest10kgeo,1,,20.0
3,closest10kgeo,2,,20.0
3,closest10kgeo,3,,20.0
3,closest10kgeo,4,,20.0
3,closest10kgeo,5,,20.0
3,closest10kgeo,6,,20.0
3,closest10kgeo,7,,20.0
3,closest10kgeo,8,,20.0
3,closest10kgeo,9,,20.0
3,closest10kgeo,10,,20.0
3,uniformgeo,1,,6.0
3,uniformgeo,2,,5.0
3,uniformgeo,3,,5.0
3,uniformgeo,4,,3.0
3,uniformgeo,5,,10.0
3,uniformgeo,6,,1.0
3,uniformgeo,7,,4.0
3,uniformgeo,8,,4.0
3,uniformgeo,9,,3.0
3,uniformgeo,10,,4.0
4,uniform,1,104.0,
4,uniform,2,103.0,
4,uniform,3,102.0,
4,uniform,4,108.0,
4,uniform,5,104.0,
4,uniform,6,104.0,
4,uniform,7,84.0,
4,uniform,8,117.0,
4,uniform,9,103.0,
4,uniform,10,88.0,
4,5epsilonpca,1,113.0,
4,5epsilonpca,2,124.0,
4,5epsilonpca,3,99.0,
4,5epsilonpca,4,108.0,
4,5epsilonpca,5,117.0,
4,5epsilonpca,6,107.0,
4,5epsilonpca,7,108.0,
4,5epsilonpca,8,119.0,
4,5epsilonpca,9,96.0,
4,5epsilonpca,10,118.0,
4,10epsilonpca,1,108.0,
4,10epsilonpca,2,115.0,
4,10epsilonpca,3,101.0,
4,10epsilonpca,4,118.0,
4,10epsilonpca,5,86.0,
4,10epsilonpca,6,106.0,
4,10epsilonpca,7,110.0,
4,10epsilonpca,8,110.0,
4,10epsilonpca,9,107.0,
4,10epsilonpca,10,103.0,
4,50epsilonpca,1,109.0,
4,50epsilonpca,2,115.0,
4,50epsilonpca,3,104.0,
4,50epsilonpca,4,116.0,
4,50epsilonpca,5,103.0,
4,50epsilonpca,6,110.0,
4,50epsilonpca,7,79.0,
4,50epsilonpca,8,119.0,
4,50epsilonpca,9,107.0,
4,50epsilonpca,10,94.0,
4,100epsilonpca,1,118.0,
4,100epsilonpca,2,100.0,
4,100epsilonpca,3,109.0,
4,100epsilonpca,4,106.0,
4,100epsilonpca,5,107.0,
4,100epsilonpca,6,102.0,
4,100epsilonpca,7,98.0,
4,100epsilonpca,8,92.0,
4,100epsilonpca,9,99.0,
4,100epsilonpca,10,104.0,
4,closest10kpca,1,151.0,
4,closest10kpca,2,151.0,
4,closest10kpca,3,151.0,
4,closest10kpca,4,151.0,
4,closest10kpca,5,151.0,
4,closest10kpca,6,151.0,
4,closest10kpca,7,151.0,
4,closest10kpca,8,151.0,
4,closest10kpca,9,151.0,
4,closest10kpca,10,151.0,
4,5epsilongeo,1,,12.0
4,5epsilongeo,2,,14.0
4,5epsilongeo,3,,15.0
4,5epsilongeo,4,,17.0
4,5epsilongeo,5,,19.0
4,5epsilongeo,6,,17.0
4,5epsilongeo,7,,13.0
4,5epsilongeo,8,,16.0
4,5epsilongeo,9,,12.0
4,5epsilongeo,10,,13.0
4,10epsilongeo,1,,8.0
4,10epsilongeo,2,,7.0
4,10epsilongeo,3,,9.0
4,10epsilongeo,4,,7.0
4,10epsilongeo,5,,6.0
4,10epsilongeo,6,,7.0
4,10epsilongeo,7,,4.0
4,10epsilongeo,8,,7.0
4,10epsilongeo,9,,4.0
4,10epsilongeo,10,,8.0
4,50epsilongeo,1,,2.0
4,50epsilongeo,2,,5.0
4,50epsilongeo,3,,1.0
4,50epsilongeo,4,,7.0
4,50epsilongeo,5,,3.0
4,50epsilongeo,6,,3.0
4,50epsilongeo,7,,5.0
4,50epsilongeo,8,,4.0
4,50epsilongeo,9,,4.0
4,50epsilongeo,10,,4.0
4,closest10kgeo,1,,13.0
4,closest10kgeo,2,,13.0
4,closest10kgeo,3,,13.0
4,closest10kgeo,4,,13.0
4,closest10kgeo,5,,13.0
4,closest10kgeo,6,,13.0
4,closest10kgeo,7,,13.0
4,closest10kgeo,8,,13.0
4,closest10kgeo,9,,13.0
4,closest10kgeo,10,,13.0
4,uniformgeo,1,,1.0
4,uniformgeo,2,,6.0
4,uniformgeo,3,,1.0
4,uniformgeo,4,,1.0
4,uniformgeo,5,,1.0
4,uniformgeo,6,,4.0
4,uniformgeo,7,,3.0
4,uniformgeo,8,,3.0
4,uniformgeo,9,,3.0
4,uniformgeo,10,,2.0
5,uniform,1,110.0,
5,uniform,2,107.0,
5,uniform,3,89.0,
5,uniform,4,124.0,
5,uniform,5,133.0,
5,uniform,6,116.0,
5,uniform,7,102.0,
5,uniform,8,101.0,
5,uniform,9,108.0,
5,uniform,10,105.0,
5,5epsilonpca,1,115.0,
5,5epsilonpca,2,119.0,
5,5epsilonpca,3,116.0,
5,5epsilonpca,4,110.0,
5,5epsilonpca,5,104.0,
5,5epsilonpca,6,110.0,
5,5epsilonpca,7,127.0,
5,5epsilonpca,8,114.0,
5,5epsilonpca,9,112.0,
5,5epsilonpca,10,100.0,
5,10epsilonpca,1,120.0,
5,10epsilonpca,2,114.0,
5,10epsilonpca,3,116.0,
5,10epsilonpca,4,119.0,
5,10epsilonpca,5,122.0,
5,10epsilonpca,6,108.0,
5,10epsilonpca,7,106.0,
5,10epsilonpca,8,119.0,
5,10epsilonpca,9,100.0,
5,10epsilonpca,10,103.0,
5,50epsilonpca,1,122.0,
