iter	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
[]	15664762	8601241	744.1711460661758	11153.141680678607	1131.4206949331829	13736.282587408914	6593132
[]	10156324	14292580	248.05357444731484	3717.7102020845373	600.8756535123621	5767.873336721436	4829726
