Variant_Type,Panel,Bin_Center,Binned_SFS,Binned_Std
synonymous,H,1.4142135623730951,19.51392254468186,0.19604176912360632
synonymous,H,2.8284271247461903,4.282202386409438,0.20678415168869724
synonymous,H,5.656854249492381,3.6478887232681814,0.2379678601124925
synonymous,H,11.661903789690601,2.0498162010921135,0.32076913298179643
synonymous,H,24.392621835300936,1.1638836494354052,0.32760931931941206
synonymous,H,59.16079783099616,1.3335801091318444,0.6833035118931219
synonymous,H,100.0,2.3927200817109053,4.7214948247212085
synonymous,E,1.4142135623730951,15.885929268412582,0.23621281056738913
synonymous,E,2.8284271247461903,3.357064100960798,0.182281593810794
synonymous,E,5.656854249492381,2.8310050759017145,0.2298900751200742
synonymous,E,11.661903789690601,1.5840286772356365,0.28363556201947293
synonymous,E,24.392621835300936,1.0134974765320521,0.3099838486608555
synonymous,E,59.16079783099616,0.835023613747893,0.5131496179518107
synonymous,E,100.0,1.8292108034775652,4.026543507152123
synonymous,F,1.4142135623730951,15.496797731522435,0.28495225918873934
synonymous,F,2.8284271247461903,3.801785857406685,0.2526798019854881
synonymous,F,5.656854249492381,3.10895617368044,0.24906520739586613
synonymous,F,11.661903789690601,1.9082074312765087,0.28926731268469164
synonymous,F,24.392621835300936,1.053288370529856,0.32785524273571176
synonymous,F,59.16079783099616,1.0597251327942274,0.5670717365232041
synonymous,F,100.0,1.9620421702057058,4.152760124535753
synonymous,G,1.4142135623730951,17.234723542896575,0.27251759550791166
synonymous,G,2.8284271247461903,4.106654324654471,0.27284704000679894
synonymous,G,5.656854249492381,3.4091433592814155,0.21480732869807317
synonymous,G,11.661903789690601,1.969064092684846,0.2389094144794195
synonymous,G,24.392621835300936,1.177342334169964,0.3269021652993991
synonymous,G,59.16079783099616,1.261605403812382,0.6760319334722329
synonymous,G,100.0,2.158655999371007,4.449857383856459
synonymous,D,1.4142135623730951,15.720914090362925,0.35405496923448954
synonymous,D,2.8284271247461903,1.9731602141258122,0.179225056750544
synonymous,D,5.656854249492381,1.1334553187312224,0.13655730716796355
synonymous,D,11.661903789690601,0.6536239499343139,0.17164449101528834
synonymous,D,24.392621835300936,0.416634066565166,0.1982503115126466
synonymous,D,59.16079783099616,0.4722242861209054,0.38596627700901887
synonymous,D,100.0,1.6782394703695331,3.756991526649787
synonymous,A,1.4142135623730951,7.519503698572947,0.05483318680718007
synonymous,A,2.8284271247461903,1.7747909043426944,0.03207742147407355
synonymous,A,5.656854249492381,1.462705461222754,0.04171984477283655
synonymous,A,11.661903789690601,0.796207986759697,0.04179299126861277
synonymous,A,24.392621835300936,0.46208150921950164,0.04556963403222988
synonymous,A,59.16079783099616,0.48529286405150174,0.10179928536808697
synonymous,A,100.0,1.6817504315997382,3.4941138051796994
synonymous,B,1.4142135623730951,12.992116997082974,0.024780549658486528
synonymous,B,2.8284271247461903,2.0400635309946153,0.01904249252075428
synonymous,B,5.656854249492381,1.2832563314287881,0.02166724814974673
