sigma,rho,s,w,mu,logl
30.0,0.1,0.0020433597178569417,multi,1.25e-08,-1484.3958150380345
29.0,0.1,0.0020433597178569417,multi,1.25e-08,-1485.3739498120724
30.0,0.1,0.002395026619987486,multi,1.25e-08,-1532.4699519109734
28.0,0.1,0.0020433597178569417,multi,1.25e-08,-1532.755008380693
20.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1548.300769968419
27.0,0.1,0.0017433288221999873,multi,1.25e-08,-1551.3399380856426
21.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1558.7867398296694
26.0,0.1,0.0017433288221999873,multi,1.25e-08,-1566.946612453833
19.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1575.0097211870193
28.0,0.1,0.0017433288221999873,multi,1.25e-08,-1591.8475099561012
22.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1602.0009951001657
24.0,0.1,0.0014873521072935117,multi,1.25e-08,-1617.0098780198327
23.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-1626.693879839887
25.0,0.1,0.0014873521072935117,multi,1.25e-08,-1627.6306524285912
18.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-1629.6159023718283
27.0,0.1,0.0020433597178569417,multi,1.25e-08,-1629.6499043244337
22.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-1636.1452340320993
17.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-1637.4873800840023
25.0,0.1,0.0017433288221999873,multi,1.25e-08,-1642.5101665920397
24.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-1643.8811507819396
18.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1643.9130877722243
29.0,0.1,0.002395026619987486,multi,1.25e-08,-1654.5072097521222
22.0,0.1,0.0012689610031679222,multi,1.25e-08,-1669.7573777524105
19.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-1670.6176435642087
23.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1673.9586362203174
21.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-1675.4048436361504
