sigma,rho,s,w,mu,logl
15.0,1.81,0.005298316906283708,multi,1.25e-08,-5990.967020506132
13.0,3.17,0.006210169418915616,multi,1.25e-08,-5992.395147650289
16.0,2.49,0.005298316906283708,multi,1.25e-08,-6011.007508351943
14.0,2.83,0.005298316906283708,multi,1.25e-08,-6016.954891204843
16.0,1.81,0.004520353656360241,multi,1.25e-08,-6023.28798487152
26.0,0.78,0.004520353656360241,multi,1.25e-08,-6037.1842736427425
30.0,0.78,0.006210169418915616,multi,1.25e-08,-6038.75075774908
21.0,1.12,0.005298316906283708,multi,1.25e-08,-6039.244656217053
30.0,1.12,0.007278953843983146,multi,1.25e-08,-6046.705152237893
10.0,3.51,0.005298316906283708,multi,1.25e-08,-6049.796290095567
28.0,1.47,0.006210169418915616,multi,1.25e-08,-6060.224456554677
12.0,2.83,0.006210169418915616,multi,1.25e-08,-6063.217667590883
27.0,0.78,0.005298316906283708,multi,1.25e-08,-6066.7487626057455
10.0,3.17,0.005298316906283708,multi,1.25e-08,-6073.419757740816
17.0,1.47,0.004520353656360241,multi,1.25e-08,-6076.132432267931
13.0,2.15,0.005298316906283708,multi,1.25e-08,-6079.154387669027
15.0,1.81,0.004520353656360241,multi,1.25e-08,-6081.555402605882
11.0,3.51,0.006210169418915616,multi,1.25e-08,-6084.355525926832
13.0,2.49,0.006210169418915616,multi,1.25e-08,-6086.293522263716
17.0,1.81,0.004520353656360241,multi,1.25e-08,-6094.191464556336
29.0,1.12,0.007278953843983146,multi,1.25e-08,-6095.599596727587
11.0,3.51,0.005298316906283708,multi,1.25e-08,-6115.951586917663
11.0,3.17,0.006210169418915616,multi,1.25e-08,-6122.088813438805
26.0,1.12,0.004520353656360241,multi,1.25e-08,-6122.652984866817
12.0,3.51,0.006210169418915616,multi,1.25e-08,-6127.098018692675
19.0,1.47,0.006210169418915616,multi,1.25e-08,-6127.487655841354
23.0,1.12,0.006210169418915616,multi,1.25e-08,-6133.453697387909
20.0,1.12,0.004520353656360241,multi,1.25e-08,-6135.919547264057
21.0,1.47,0.004520353656360241,multi,1.25e-08,-6142.752864284019
14.0,2.15,0.004520353656360241,multi,1.25e-08,-6142.919298183717
18.0,2.49,0.006210169418915616,multi,1.25e-08,-6148.441750197695
25.0,1.47,0.007278953843983146,multi,1.25e-08,-6152.610018799165
14.0,3.17,0.006210169418915616,multi,1.25e-08,-6163.956447713119
24.0,1.81,0.006210169418915616,multi,1.25e-08,-6170.510213388738
17.0,1.47,0.005298316906283708,multi,1.25e-08,-6175.990288915225
26.0,1.47,0.007278953843983146,multi,1.25e-08,-6176.09600365517
9.0,3.86,0.005298316906283708,multi,1.25e-08,-6180.947951492984
26.0,1.47,0.005298316906283708,multi,1.25e-08,-6181.631834581689
24.0,1.47,0.007278953843983146,multi,1.25e-08,-6189.8260341926025
22.0,1.81,0.005298316906283708,multi,1.25e-08,-6192.490539156635
28.0,1.12,0.007278953843983146,multi,1.25e-08,-6194.2854614549815
16.0,2.83,0.006210169418915616,multi,1.25e-08,-6197.291667063535
13.0,2.15,0.004520353656360241,multi,1.25e-08,-6199.585414820419
19.0,2.15,0.005298316906283708,multi,1.25e-08,-6200.752184833946
9.0,3.51,0.005298316906283708,multi,1.25e-08,-6208.776345398105
10.0,3.86,0.006210169418915616,multi,1.25e-08,-6208.870989091938
13.0,3.17,0.005298316906283708,multi,1.25e-08,-6218.628372248551
10.0,3.86,0.005298316906283708,multi,1.25e-08,-6221.863032856971
10.0,3.51,0.006210169418915616,multi,1.25e-08,-6231.860018377738
16.0,1.81,0.006210169418915616,multi,1.25e-08,-6240.284274570215
15.0,2.15,0.004520353656360241,multi,1.25e-08,-6241.443627204084
11.0,3.86,0.006210169418915616,multi,1.25e-08,-6245.534597495489
27.0,1.47,0.007278953843983146,multi,1.25e-08,-6255.396196206675
14.0,2.15,0.006210169418915616,multi,1.25e-08,-6259.568257460611
12.0,2.49,0.004520353656360241,multi,1.25e-08,-6265.735931188276
21.0,2.15,0.006210169418915616,multi,1.25e-08,-6266.2065820764665
21.0,1.81,0.007278953843983146,multi,1.25e-08,-6269.555829433527
18.0,1.81,0.004520353656360241,multi,1.25e-08,-6278.253332346379
22.0,1.81,0.007278953843983146,multi,1.25e-08,-6280.460018129455
25.0,0.78,0.004520353656360241,multi,1.25e-08,-6284.582091865172
14.0,1.81,0.004520353656360241,multi,1.25e-08,-6287.7288740489985
23.0,1.47,0.007278953843983146,multi,1.25e-08,-6293.125303214203
13.0,2.49,0.004520353656360241,multi,1.25e-08,-6314.855608662207
9.0,4.2,0.005298316906283708,multi,1.25e-08,-6316.656670987293
15.0,2.83,0.005298316906283708,multi,1.25e-08,-6329.167494527748
13.0,3.51,0.006210169418915616,multi,1.25e-08,-6334.66709086014
20.0,1.81,0.007278953843983146,multi,1.25e-08,-6337.674894274694
8.0,4.2,0.005298316906283708,multi,1.25e-08,-6338.182441436531
16.0,1.47,0.004520353656360241,multi,1.25e-08,-6342.836912155517
17.0,2.49,0.005298316906283708,multi,1.25e-08,-6343.067881609062
29.0,0.78,0.006210169418915616,multi,1.25e-08,-6344.17080114726
29.0,1.47,0.006210169418915616,multi,1.25e-08,-6344.525376879541
27.0,1.12,0.007278953843983146,multi,1.25e-08,-6346.605214624911
9.0,4.2,0.006210169418915616,multi,1.25e-08,-6349.603041067009
10.0,4.2,0.006210169418915616,multi,1.25e-08,-6350.557160821838
27.0,1.12,0.004520353656360241,multi,1.25e-08,-6351.9645765443765
10.0,2.83,0.005298316906283708,multi,1.25e-08,-6362.061638648323
23.0,1.81,0.007278953843983146,multi,1.25e-08,-6363.259566248683
12.0,3.51,0.005298316906283708,multi,1.25e-08,-6373.785842153367
11.0,2.49,0.005298316906283708,multi,1.25e-08,-6382.242340590289
22.0,1.47,0.004520353656360241,multi,1.25e-08,-6382.767045215538
11.0,2.83,0.004520353656360241,multi,1.25e-08,-6383.798223075042
9.0,3.86,0.006210169418915616,multi,1.25e-08,-6384.455659032747
19.0,2.15,0.007278953843983146,multi,1.25e-08,-6386.037974470752
28.0,1.47,0.007278953843983146,multi,1.25e-08,-6386.059451422521
18.0,2.15,0.007278953843983146,multi,1.25e-08,-6394.479939643044
8.0,3.86,0.005298316906283708,multi,1.25e-08,-6395.029086414077
11.0,2.49,0.004520353656360241,multi,1.25e-08,-6411.109299790532
