sigma,rho,s,w,mu,logl
51.91836734693878,0.1,0.004520353656360241,multi,1.25e-08,-1108.7266993566511
62.102040816326536,0.1,0.005298316906283708,multi,1.25e-08,-1169.4979435367106
41.734693877551024,0.1,0.0032903445623126675,multi,1.25e-08,-1247.0238901217092
41.734693877551024,0.1,0.0038566204211634724,multi,1.25e-08,-1267.9668985791982
51.91836734693878,0.1,0.005298316906283708,multi,1.25e-08,-1269.6204711488804
62.102040816326536,0.1,0.006210169418915616,multi,1.25e-08,-1282.6652615430464
72.28571428571429,0.1,0.006210169418915616,multi,1.25e-08,-1362.6893386184345
51.91836734693878,0.1,0.0038566204211634724,multi,1.25e-08,-1407.8814118003004
31.551020408163268,0.1,0.002395026619987486,multi,1.25e-08,-1423.6953971191979
62.102040816326536,0.1,0.004520353656360241,multi,1.25e-08,-1565.9720918123796
31.551020408163268,0.1,0.0020433597178569417,multi,1.25e-08,-1567.9337568694336
21.367346938775512,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-1571.0792519368226
72.28571428571429,0.1,0.007278953843983146,multi,1.25e-08,-1602.41191899688
31.551020408163268,0.1,0.0028072162039411755,multi,1.25e-08,-1648.3977556277803
72.28571428571429,0.1,0.005298316906283708,multi,1.25e-08,-1655.3375317321986
21.367346938775512,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-1657.3036354539906
41.734693877551024,0.1,0.0028072162039411755,multi,1.25e-08,-1664.8901191243394
41.734693877551024,0.1,0.004520353656360241,multi,1.25e-08,-1670.5131804482894
21.367346938775512,0.1,0.0012689610031679222,multi,1.25e-08,-1699.2317271874936
21.367346938775512,0.1,0.001082636733874054,multi,1.25e-08,-1778.135049310226
82.46938775510205,0.1,0.007278953843983146,multi,1.25e-08,-1792.403090422743
82.46938775510205,0.1,0.006210169418915616,multi,1.25e-08,-1821.2875999055989
51.91836734693878,0.1,0.006210169418915616,multi,1.25e-08,-1831.7967021238562
62.102040816326536,0.1,0.007278953843983146,multi,1.25e-08,-1840.8929803827996
11.183673469387756,0.1,0.0003562247890262444,multi,1.25e-08,-1911.575832437815
21.367346938775512,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-1927.0061831860319
