,Variant Type,bin center,ratio,stdev
0,lof,1.4142135623730951,0.45522151923961096,0.12704336494333024
1,lof,2.8284271247461903,1.0764536325424159,0.35360484759718996
2,lof,5.656854249492381,1.6082301756740622,0.3127066404364622
3,lof,11.661903789690601,1.4853242245691318,0.25044092614011465
4,lof,24.392621835300936,0.9999967011303015,0.1723946436434404
5,lof,59.16079783099616,1.2074390223924203,0.19317575847628565
6,lof,100.0,0.9815488565488546,0.038074178625158085
7,missense,1.4142135623730951,0.46754517039018556,0.11981837917435598
8,missense,2.8284271247461903,0.936941915247868,0.2874133374283177
9,missense,5.656854249492381,1.360617031760835,0.2888800343675359
10,missense,11.661903789690601,1.2192463397970457,0.12654422488047068
11,missense,24.392621835300936,1.2220362530097466,0.24552286107404594
12,missense,59.16079783099616,0.9509356858633894,0.06084725195861976
13,missense,100.0,1.0193146500505719,0.01422133665235744
14,synonymous,1.4142135623730951,0.4785609733558753,0.121376975261514
15,synonymous,2.8284271247461903,0.9033478704297045,0.2972908920077827
16,synonymous,5.656854249492381,1.2939418617943885,0.2801293689467167
17,synonymous,11.661903789690601,1.2210875835637112,0.138292733674727
18,synonymous,24.392621835300936,1.1139596841990032,0.1263413176258927
19,synonymous,59.16079783099616,1.0289321325676053,0.09373594343975021
20,synonymous,100.0,1.0021184847749631,0.012242169556417194
