,Variant Type,bin center,ratio,stdev
0,lof,1.4142135623730951,0.8714102664380758,0.020613312807639887
1,lof,2.8284271247461903,0.8202343584479778,0.06524366518490567
2,lof,5.656854249492381,0.8555238468271437,0.07250285981997513
3,lof,11.661903789690601,0.7607609808962319,0.08653173620898458
4,lof,24.392621835300936,0.6851311707649865,0.08531909839187246
5,lof,59.16079783099616,0.6152394805644119,0.05770395699564289
6,lof,100.0,0.7935294117647963,0.03409886042753891
7,missense,1.4142135623730951,0.8453467975671598,0.020034876391921513
8,missense,2.8284271247461903,0.8612083255945835,0.056514584322660245
9,missense,5.656854249492381,0.8107157970453767,0.03969537633321665
10,missense,11.661903789690601,0.7988314302784347,0.03760733421925857
11,missense,24.392621835300936,0.6451762545783069,0.04519124721690487
12,missense,59.16079783099616,0.729248516289019,0.033269114915844125
13,missense,100.0,0.7792768593841999,0.011629940582725682
14,synonymous,1.4142135623730951,0.8141472413853441,0.01409169103221351
15,synonymous,2.8284271247461903,0.7847608545874362,0.037648869259087364
16,synonymous,5.656854249492381,0.7768109391627045,0.027090566709979676
17,synonymous,11.661903789690601,0.7727944114079703,0.020506476298620843
18,synonymous,24.392621835300936,0.8729032871995986,0.06649115716742729
19,synonymous,59.16079783099616,0.6262625786396778,0.019717221779248964
20,synonymous,100.0,0.7645280171639675,0.007101618159843529
