sigma,rho,s,w,mu,logl
20.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-765.6431423008328
23.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-767.1086447189841
22.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-774.6756159205495
21.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-779.8256479805266
24.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-782.4807430873275
19.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-785.2501627873371
21.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-808.2719629977857
18.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-809.8295240347397
25.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-818.031456613973
17.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-818.1570461251752
22.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-823.5048188367141
29.0,0.1,0.0017433288221999873,multi,1.25e-08,-824.231707008312
30.0,0.1,0.0017433288221999873,multi,1.25e-08,-829.6066308153754
18.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-843.4522589914354
19.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-847.0044462646676
26.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-853.2907093786728
27.0,0.1,0.0014873521072935117,multi,1.25e-08,-854.1161488747846
28.0,0.1,0.0017433288221999873,multi,1.25e-08,-855.0441044837123
25.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-857.7653825486723
26.0,0.1,0.0014873521072935117,multi,1.25e-08,-864.6060549628171
27.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-865.5440136977309
30.0,0.1,0.0020433597178569417,multi,1.25e-08,-865.7085250116529
26.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-871.297157960387
16.0,0.4413793103448276,0.0032903445623126675,multi,1.25e-08,-871.3403372916594
20.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-871.3547833739956
15.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-874.9932282299267
16.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-878.6894656217021
24.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-880.968689080788
14.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-881.2790954659399
15.0,0.4413793103448276,0.0032903445623126675,multi,1.25e-08,-881.2831901400548
24.0,0.1,0.0012689610031679222,multi,1.25e-08,-884.0448148100211
28.0,0.1,0.0014873521072935117,multi,1.25e-08,-887.126964986142
25.0,0.1,0.0012689610031679222,multi,1.25e-08,-888.9152631355166
28.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-892.7378902113012
23.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-892.8471291732894
13.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-896.0493670871003
22.0,0.1,0.001082636733874054,multi,1.25e-08,-906.6374026655615
16.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-910.4734715486384
12.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-914.5572489447786
23.0,0.1,0.001082636733874054,multi,1.25e-08,-917.9650137499605
25.0,0.1,0.0014873521072935117,multi,1.25e-08,-921.5099587363063
