Scenario,Mean_LOF,Std_LOF,Mean_Missense,Std_Missense,Mean_Synonymous,Std_Synonymous
centerE16N4geo50000,0.007837832488159308,0.00013430169639348034,0.04113416874463474,0.0007407219758292216,0.07396318325452342,0.001423606471599859
centerE16N4geo100000,0.006206845353918779,0.00012389756466383073,0.033494221135454263,0.0006805026190769257,0.06284093377184477,0.0015747089829161328
centerE16N4geo150000,0.005926897609920505,6.022706883479066e-05,0.03252730759504454,0.000560114279582951,0.06176186935187805,0.0012894091916478886
centerE9N9geo50000,0.010703221338212821,0.0001894954212948307,0.05186283090554884,0.0007131374901721153,0.09035847932777127,0.0016480466286548994
centerE9N9geo100000,0.007692866812393097,0.00011764781415869973,0.039535575472297795,0.0005516441739319574,0.07278494375446223,0.0015897541634710534
centerE9N9geo150000,0.006978785796722021,0.00010433999940714587,0.036416152389401546,0.0004917541862739647,0.06777350096797176,0.001508134777593644
centerE6N4geo50000,0.011440489450423336,0.00021013363577956692,0.057083575390938016,0.0009731778506228686,0.09763236402209237,0.002318467233237948
centerE6N4geo100000,0.007134628806846129,0.00015252529347805152,0.038145901940885726,0.0009265053299474323,0.07092841164974077,0.0012652179587917913
centerE6N4geo150000,0.006284807308402929,7.058293066962026e-05,0.03407435497646816,0.0004275668317871539,0.06445985570746088,0.0011722940387287604
uniformgeo,0.0062167777168845445,8.183467466456098e-05,0.033516551838535004,0.0007133662773074424,0.06429637156972139,0.0014444605499501094
centerX19Y4pca0.0015,0.007011429338732912,9.941542459838245e-05,0.03198353268794613,0.0006886106992205292,0.057204339077797914,0.0012171351290465398
centerX19Y4pca0.0025,0.007224389437237022,0.00010054666771965539,0.03161773844305988,0.0005530508489400198,0.05576431777152454,0.0010692185873297174
centerX19Y4pca0.005,0.006887038606724727,7.936761941214514e-05,0.02990401995183909,0.00040641814419102714,0.05263339959562544,0.0007490152023087702
uniformpca,0.006471594520343527,7.512493428094529e-05,0.028136058198070007,0.0005941164569114658,0.049570934779340756,0.0009011192918431361
