seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
5	2886820	20654087	24.823119889749254	372.0328970464542	218.0468802234608	1083.3519915220647	1597126
9	2882531	20658535	24.829211232106505	372.10348975705074	218.40193318555416	1084.2738279534485	1592992
10	2885506	20656712	24.82319581657907	372.04212972261564	218.1421254788779	1083.6051362169685	1595877
4	2889850	20652424	24.823072837034907	372.03241042784913	217.7719611889466	1082.6960572996138	1599968
8	2887812	20652874	24.824836539059326	372.05823570069623	217.96666111400174	1083.1985575636154	1597352
6	2886197	20655114	24.820831162578088	372.0174854940407	218.03039504999833	1083.3177148347459	1597247
1	2886887	20654245	24.822916145827133	372.0286902484166	218.027936376842	1083.298731749927	1596064
2	2882228	20658413	24.82786979512417	372.0990741585528	218.42309945545307	1084.3411160284406	1593053
3	2888066	20653838	24.822151132940547	372.00863656806865	217.93136744167526	1083.0252484007558	1598930
7	2886389	20655060	24.82528510826943	372.06067378760974	218.06517562721157	1083.4306626773066	1596313
