seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
1	15591946	8597656	744.1692509566913	11153.097423166446	1131.1791420863383	13734.788963700394	6594110
1	7306092	16849155	124.02119031273426	1858.742996123586	418.35282218713525	3395.754241949562	3807664
3	3148528	20446803	24.809489833306785	371.82697212072696	199.76169415356227	1038.3924313859034	1858942
7	3147251	20446389	24.804126277391436	371.76299573820495	199.79450592738579	1038.4054555305468	1858638
4	3146449	20447326	24.809200600838597	371.8123258427859	199.87152105392641	1038.6312565577387	1857909
5	3145182	20448583	24.798337130619657	371.7125444019222	199.87053817562855	1038.5747671379474	1858186
10	3144957	20448491	24.805240349611115	371.7542290225592	199.95657028515964	1038.761657447735	1856064
1	3146020	20447275	24.806222220710488	371.77946786745525	199.89006857961115	1038.646977037563	1856680
2	3143345	20450720	24.8068959248759	371.79656843452517	200.0634136097313	1039.115392439194	1853812
1	10050053	14290766	248.04751160113963	3717.561755490813	600.7831404001242	5767.272972429154	4830991
8	3144649	20448658	24.802073909799002	371.7469703173052	199.90972923064362	1038.6916959349053	1856565
6	3144852	20448666	24.80486181146903	371.7628775449597	199.95796588646982	1038.7982455329422	1855217
9	3142633	20449589	24.798809585223708	371.69057373716316	200.05569935943754	1038.9643196707364	1853857
