seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
8	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
10	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
2	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
9	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
3	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
4	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
7	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
5	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
1	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
6	3138214	20454033	24.810939208082033	371.8530793919131	200.4335527095136	1040.1166161047638	1852392
