seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
4	3140363	20452914	24.799847768406917	371.7028655328336	200.24264839388405	1039.4447738641488	1854341
2	3144297	20448847	24.80515682631898	371.8039162710138	199.95930843471646	1038.9136478933324	1858827
5	3144876	20447875	24.80176479803142	371.72505864878593	199.92386375683782	1038.6704961843222	1857532
10	3143818	20450193	24.80045438938521	371.72237478420215	200.01182949506943	1038.9109754198712	1857386
9	3139772	20453205	24.809926081886463	371.84374303968997	200.31778913535626	1039.8222219233933	1852462
8	3139703	20453440	24.803251966151524	371.7288550497002	200.28186960928196	1039.544499301077	1854340
7	3143417	20449131	24.803465120616515	371.75127389806636	200.0526959286349	1039.0317464695884	1856287
6	3134307	20456877	24.80547648242978	371.8014401253748	200.6703310511951	1040.6765136935803	1846808
3	3138926	20454318	24.805640089819665	371.7982862080105	200.33129334130976	1039.8170443656916	1852689
1	3142603	20450635	24.79947837625429	371.70240204531865	200.02541856995015	1038.90833678656	1855821
