seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
2	42722	417585	30547	0.00022814725115555978	0.00014991890938968513	0.005985215796653669	0.0016141444108573237	0.019578890192311196
3	42254	418051	30163	0.00022818320470525646	0.00015009387000172435	0.005998311385655461	0.001634003784261707	0.019729935780555156
8	42115	418192	30154	0.00022771151604470958	0.00014975946241032361	0.005990098203818316	0.001635159493012472	0.019731787543326836
5	42617	417685	30412	0.00022805260773749059	0.00014998213030573493	0.005994441741945494	0.001620358040358286	0.01964254226767788
10	42404	417897	30317	0.00022784821614239652	0.00014981124174383523	0.0059887135734216085	0.0016242561888392534	0.019658350472408413
6	42371	417942	30167	0.00022772067559614378	0.0001497590094777249	0.005989678114784906	0.001625970457975135	0.01967528759333133
1	42321	417975	30072	0.00022813820393005472	0.0001499058714524525	0.005984504801328949	0.0016297072096601963	0.019670912929156105
4	42040	418269	29911	0.0002278064004896472	0.00014981464546893957	0.005990742925223801	0.0016395414147481627	0.019756506615865893
7	42412	417899	30348	0.00022794702163957622	0.00014982716048028978	0.00598591692913325	0.0016249531969344817	0.019652250184095603
9	42636	417664	30552	0.0002284805096726385	0.0001502535820256959	0.005999229204694979	0.0016191832583045092	0.01963338996093105
