seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
5	40956	419344	29298	0.00022629590869839903	0.00014907137169449183	0.00599176059864156	0.0016733558606994337	0.020011181880287263
7	41208	419103	29574	0.00022655259080216458	0.0001492118097982916	0.005992766492449551	0.001665355629299331	0.01995754237972011
2	40901	419400	29204	0.00022619171745453232	0.00014891045696960556	0.005982676985944049	0.0016763692743840817	0.020009372403721436
8	41010	419291	29454	0.00022603194275267702	0.00014891919047648844	0.005990078645131278	0.0016705650299358409	0.019999225115426473
9	40852	419454	29249	0.0002263609648150928	0.00014905821243511326	0.005987947200574882	0.0016783760373398097	0.020029019350336654
3	41156	419137	29472	0.00022650613129806185	0.00014922666087265272	0.005995942513675946	0.0016688242519696218	0.019987825440304488
4	41153	419148	29344	0.0002264958943481265	0.00014922198143844373	0.005995979241511438	0.001667716810355004	0.019981676792508802
1	40972	419330	29338	0.0002264988394614836	0.00014916864081177518	0.005991407997927674	0.0016753013257473103	0.02001497751988092
10	40928	419369	29307	0.0002263530432557301	0.00014901621319375377	0.005984771151355263	0.0016730860965977225	0.01998980986451222
6	40557	419752	28994	0.00022614626405358232	0.00014898985901099223	0.0059912043034863185	0.001690770341063656	0.020117961383169104
