seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
4	3197657	20407258	24.80907928420161	371.792957845489	196.68090637828303	1030.5595859715063	1906113
7	3191683	20411683	24.812956881383887	371.80153577580546	197.05721848476682	1031.450815447282	1902067
8	3207931	20398929	24.807449786344772	371.74763135149095	196.06409775048084	1028.906398638455	1914717
2	3203587	20401906	24.80841884550024	371.7831020700633	196.2830563468766	1029.5405826743374	1911581
10	3191499	20411987	24.805771383899696	371.73356818758	197.0309640590811	1031.343471969016	1900170
5	3203105	20401674	24.808890317477324	371.7716649266989	196.3219503252117	1029.5961426592487	1909809
1	3196889	20406928	24.814472432305976	371.8398214821231	196.78279847556846	1030.8357488647496	1903312
6	3195777	20408078	24.806053889152498	371.7455060447937	196.7693498544826	1030.7116421556304	1904493
9	3204130	20400837	24.81330960667143	371.81556823964405	196.30255750025265	1029.5783930421421	1910582
3	3197231	20407585	24.81471763552741	371.8554470622447	196.74482308117575	1030.7793640178722	1907402
