seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
9	43111	417200	30576	0.00022937233227142157	0.00015056999101844762	0.00598841828536898	0.0016079002129897988	0.01950920991377962
8	43638	416679	31205	0.00022984903096217167	0.00015082156794997992	0.005989516284603889	0.001588630370996604	0.019380048629057865
3	43205	417103	30831	0.0002294573094715205	0.00015059358982220876	0.005986840289931992	0.001603865744632775	0.019478184087827134
6	42664	417647	30315	0.00022920833801683558	0.00015053945392306582	0.0059927141419777894	0.001622986895293079	0.019616045556404595
5	43264	417042	30936	0.00022944970806048273	0.00015057453922781024	0.005985567016223708	0.001601306752097953	0.019459817257323583
1	43094	417211	30769	0.00022940827812118988	0.0001506262973672505	0.0059916166453802	0.001607630887107932	0.019514401442043163
7	43396	416914	30970	0.00022967090712671303	0.00015073028589986933	0.005989333244813261	0.001599133583711997	0.019448897563642355
2	43162	417149	30806	0.00022902359173903095	0.00015040003289571577	0.005988790934429529	0.0016024723939743705	0.019488758641118837
10	43143	417162	30696	0.00022977835897286379	0.00015077990127412922	0.005988988830267524	0.0016080547547407812	0.019498349646989245
4	43312	416997	30874	0.0002297506342362638	0.0001507587103731176	0.005988377498641212	0.0016018125905524546	0.019460101682124347
