seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
10	2869518	20666778	24.782968655900476	371.50593039184963	218.96834665509965	1084.8580350421169	1591465
6	2871469	20666582	24.78893902176084	371.5850096626985	218.86353035941724	1084.713372046392	1593015
5	2868416	20669006	24.787097541032708	371.59011996774365	219.0936432795091	1085.3172768435968	1591374
4	2870948	20666872	24.78876165759343	371.5645859426638	218.88708958847468	1084.7116017074004	1593394
2	2876659	20662686	24.78380679890936	371.5366670143696	218.43861320474724	1083.6723595017509	1597638
9	2873714	20664951	24.79328586111286	371.64068170636256	218.72754752159526	1084.4603188042859	1595523
3	2869332	20668507	24.78362157372622	371.5230653552972	218.98669282974308	1084.9387346424019	1591478
8	2872272	20666218	24.789112908940528	371.59334733494353	218.79103723848718	1084.56231678275	1594688
1	2868218	20669569	24.789192993038277	371.57933774308793	219.13515090062626	1085.3359339219649	1589199
7	2872371	20665085	24.787468822852578	371.55825908203735	218.76207793559303	1084.4244523203965	1594284
