seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
6	3334808	20296531	24.846190572563504	371.93967570111306	188.80992507884284	1010.0998658194915	1991256
7	3368386	20269671	24.85572235648308	371.9821137087825	186.9920983758041	1005.3150819357531	2015760
3	3334035	20296607	24.839582406215342	371.8891996085152	188.8074266161876	1010.0899672306869	1994466
4	3343626	20290019	24.843679998458033	371.903235195421	188.3262953099198	1008.8009553098584	2000692
10	3346244	20287618	24.84520726531703	371.87141479593237	188.13833538720252	1008.1942835296908	2001229
9	3355286	20280258	24.84731643630678	371.9042489131432	187.69289267353506	1007.0893283657741	2007771
5	3349862	20284556	24.844370974182045	371.9156351425332	187.95282925271383	1007.8552604223496	2006972
8	3352146	20282222	24.84840824824634	371.9310575744841	187.86257235417588	1007.5807409629939	2006042
1	3341156	20291999	24.84457320637037	371.9062660227977	188.4506009880347	1009.1120923654925	2000057
2	3338123	20294543	24.848309834376334	371.94427085546084	188.67252005877017	1009.7137745553669	1997749
