seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
10	35387	424913	23837	0.00022496524149404943	0.00014813744092312975	0.0059693278913711696	0.0019267695872818597	0.021448468060915868
6	35472	424832	23979	0.00022513826793950676	0.00014835634104648452	0.005980401113036017	0.0019236062120199934	0.02145509222946052
5	35450	424849	23740	0.00022518448884072624	0.0001483918903670665	0.005981440110339366	0.0019261966357512013	0.021470585321298266
4	35267	425032	23575	0.000225250687915741	0.00014835513302760022	0.005975598700066305	0.0019343664119202237	0.02149721460255606
2	35350	424953	23713	0.00022499573358497512	0.00014821001393207502	0.00597412595543129	0.001930536297710146	0.02148134191480356
9	35291	425009	23692	0.00022497134714443876	0.00014824522960120234	0.005978091616969702	0.001932995975961883	0.02150671412275291
3	35174	425121	23597	0.00022496679966317522	0.00014817782009323788	0.005972642932176901	0.0019368755424892775	0.021513268005665748
8	35314	424984	23692	0.00022513125464801353	0.00014835870727954845	0.0059808920446298	0.0019334947362653096	0.021511329506969254
1	35306	424994	23753	0.0002251929397004823	0.00014829064461184766	0.0059726195799102355	0.001932065751086796	0.021478439931550655
7	35412	424888	23895	0.00022501353636591483	0.00014820118409124828	0.0059726419880422165	0.0019250699044346612	0.021446428141510397
