seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
4	3229245	20381631	24.814516915072875	371.7670046661311	194.76607815212822	1025.5232608349115	1925535
7	3233993	20377675	24.820329115785015	371.8306560096409	194.5338449115777	1024.9914599674753	1931419
5	3235553	20376773	24.818770480449786	371.82408949734435	194.44888237992123	1024.7900381795705	1932445
10	3237158	20375167	24.820141585207836	371.8121816988902	194.36362899165968	1024.510547790105	1934727
9	3229769	20380302	24.815366887398696	371.7598112285851	194.75449382596673	1025.45536082838	1928710
1	3235409	20375733	24.818615565529218	371.82993862181524	194.43189405165663	1024.7667930587222	1933404
2	3226171	20383808	24.817172729002632	371.84284476992815	194.9869919505512	1026.243229175507	1925830
6	3230903	20379811	24.816539614889596	371.8072580363435	194.67460173459725	1025.3626811792706	1927724
8	3227611	20383104	24.81560528781805	371.8183203064986	194.89035899655136	1025.9615515549228	1928142
3	3233580	20378190	24.818397611309432	371.82508073803524	194.56913592939787	1025.1061844751976	1932400
