seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
1	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
2	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
7	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
9	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
5	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
10	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
4	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
6	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
3	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
8	2788334	20733001	24.742336161598296	371.01350524525515	224.94457632866624	1098.3705092112468	1493836
