seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
7	3164991	20317588	1874096	0.0018533891118189885	0.00129639331605859	0.019183798490371384	0.010283902099033295	0.05316908427233341
8	3161213	20321941	1870877	0.0018534862251856838	0.0012964527430316397	0.01918407779185327	0.010297954936097748	0.05320358573881371
9	3164720	20317977	1872879	0.001853441733171053	0.0012964272910303645	0.019183995952978886	0.010285795589965448	0.05317364466931555
1	3161720	20320483	1871700	0.0018533415771017883	0.0012963699723864766	0.019183811110680703	0.010296269609737382	0.053200377231252094
3	3163014	20319481	1873186	0.0018534129688015813	0.0012964367392590455	0.019184616405843458	0.010291098191266812	0.053188413344543835
2	3159319	20322269	1870601	0.0018532955943133312	0.0012964081309475098	0.01918540225663409	0.010304462678037012	0.053224500081192824
6	3161198	20321386	1870565	0.0018531077255836987	0.0012961977221476772	0.019182380739129447	0.01029690415601176	0.053201492096026745
5	3163328	20319653	1872639	0.0018533582398788599	0.0012964220243608315	0.019184947077231132	0.010291648816394256	0.05319104009203842
10	3159242	20323312	1868394	0.0018532585419745345	0.0012963184009558088	0.019183552553473603	0.010303528716804388	0.053218772454041746
4	3159820	20321567	1869472	0.0018532850983221712	0.001296294855923002	0.019182594360732975	0.010300680088014344	0.053209442792303344
