seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
2	3140328	20452083	24.807962301894374	371.8548415275445	200.27486018519932	1039.7892732636192	1853926
1	3140891	20452530	24.80679033027037	371.8154334495761	200.2569671060821	1039.656019479989	1854488
9	3137441	20455348	24.80129359060775	371.72552606711935	200.40666065254263	1039.8888676352199	1851055
7	3143362	20450441	24.805584080082586	371.7935797183495	200.03338451392054	1039.0599119712108	1857421
4	3138699	20453977	24.802472780760617	371.74125658227143	200.33127273038082	1039.7205439161273	1852894
6	3140283	20453389	24.806355669011175	371.8001794873401	200.2465546261045	1039.5953173755859	1853305
5	3137214	20455303	24.807092185715742	371.85714615358836	200.4835778490255	1040.3362439637804	1851157
10	3139289	20453521	24.80440863147086	371.7718836213808	200.2919429651053	1039.6689989922859	1852757
8	3143309	20450047	24.808205577655215	371.8268015170468	200.08629484638965	1039.2316585796673	1857232
3	3137990	20454639	24.80344894506492	371.7823841482847	200.3932944470212	1039.9732549902762	1851266
