seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
1	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
2	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
7	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
9	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
5	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
10	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
4	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
6	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
3	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
8	33826	426483	22093	0.00022428887760718352	0.00014767177821093652	0.005958651898983929	0.0020079385891824788	0.021887081670105127
